"name","MW","RT","INCHIKEY"
" Suberylglycine_HXATVKDSYDWTCX-UHFFFAOYSA-N"," 231.1107"," 6.05","HXATVKDSYDWTCX-UHFFFAOYSA-N"
" Narirutin_HXTFHSYLYXVTHC-UHFFFAOYSA-N"," 580.1792"," 4.72","HXTFHSYLYXVTHC-UHFFFAOYSA-N"
" Methylcysteine_IDIDJDIHTAOVLG-GSVOUGTGSA-N"," 135.0354"," 7.39","IDIDJDIHTAOVLG-GSVOUGTGSA-N"
" HOMOGENTISATE_IGMNYECMUMZDDF-UHFFFAOYSA-N"," 168.0423"," 1.26","IGMNYECMUMZDDF-UHFFFAOYSA-N"
" 4-O-alpha-D-Galactopyranuronosyl-D-galacturonic acid_IGSYEZFZPOZFNC-UHFFFAOYSA-N"," 370.0747"," 10.20","IGSYEZFZPOZFNC-UHFFFAOYSA-N"
" 5,7-dihydroxy-2-(4-hydroxyphenyl)-6-methoxy-4H-chromen-4-one_IHFBPDAQLQOCBX-UHFFFAOYSA-N"," 300.0634"," 0.72","IHFBPDAQLQOCBX-UHFFFAOYSA-N"
" Myricetin_IKMDFBPHZNJCSN-UHFFFAOYSA-N"," 318.0376"," 6.54","IKMDFBPHZNJCSN-UHFFFAOYSA-N"
" 3-Oxindole-3-acetate_ILGMGHZPXRDCCS-UHFFFAOYSA-N"," 191.0582"," 1.04","ILGMGHZPXRDCCS-UHFFFAOYSA-N"
" CYSTATHIONINE_ILRYLPWNYFXEMH-WHFBIAKZSA-N"," 222.0674"," 9.85","ILRYLPWNYFXEMH-WHFBIAKZSA-N"
" Phloridzin_IOUVKUPGCMBWBT-QNDFHXLGSA-N"," 436.1369"," 1.92","IOUVKUPGCMBWBT-QNDFHXLGSA-N"
" PALMITATE_IPCSVZSSVZVIGE-UHFFFAOYSA-N"," 256.2402"," 13.60","IPCSVZSSVZVIGE-UHFFFAOYSA-N"
" Theaflavin_IPMYMEWFZKHGAX-ZKSIBHASSA-N"," 564.1268"," 2.13","IPMYMEWFZKHGAX-ZKSIBHASSA-N"
" THYMIDINE_IQFYYKKMVGJFEH-XLPZGREQSA-N"," 242.0903"," 1.34","IQFYYKKMVGJFEH-XLPZGREQSA-N"
" Luteolin_IQPNAANSBPBGFQ-UHFFFAOYSA-N"," 286.0477"," 0.86","IQPNAANSBPBGFQ-UHFFFAOYSA-N"
" Adenosine phosphosulfate_IRLPACMLTUPBCL-KQYNXXCUSA-N"," 427.0199"," 8.71","IRLPACMLTUPBCL-KQYNXXCUSA-N"
" CYCLIC AMP_IVOMOUWHDPKRLL-KQYNXXCUSA-N"," 329.0525"," 7.26","IVOMOUWHDPKRLL-KQYNXXCUSA-N"
" Gibberellin A3_IXORZMNAPKEEDV-SNTJWBGVSA-N"," 346.1416"," 0.90","IXORZMNAPKEEDV-SNTJWBGVSA-N"
" Kaempferol_IYRMWMYZSQPJKC-UHFFFAOYSA-N"," 286.0477"," 0.72","IYRMWMYZSQPJKC-UHFFFAOYSA-N"
" 5-Methoxysalicylic acid_IZZIWIAOVZOBLF-UHFFFAOYSA-N"," 168.0423"," 0.94","IZZIWIAOVZOBLF-UHFFFAOYSA-N"
" OPHTHALMATE_JCMUOFQHZLPHQP-BQBZGAKWSA-N"," 289.1274"," 8.64","JCMUOFQHZLPHQP-BQBZGAKWSA-N"
" Phenylacetylglutamine_JFLIEFSWGNOPJJ-JTQLQIEISA-N"," 264.1110"," 4.64","JFLIEFSWGNOPJJ-JTQLQIEISA-N"
" Phenylacetylglutamine_JFLIEFSWGNOPJJ-JTQLQIEISA-N"," 264.1110"," 4.63","JFLIEFSWGNOPJJ-JTQLQIEISA-N"
" 2-Hydroxyhexadecanoic acid_JGHSBPIZNUXPLA-UHFFFAOYSA-N"," 272.2351"," 1.26","JGHSBPIZNUXPLA-UHFFFAOYSA-N"
